Country,2013,2014,2015,2016,2017,2018,2019
Albania,..,..,..,..,..,..,..
Algeria,..,..,..,..,45447,..,..
American Samoa,..,..,..,..,..,..,..
Angola,..,..,..,402,..,..,..
Argentina,42777,44341,43262,45970,44982,..,..
Armenia,1863,2227,2023,1917,1868,1705,..
Australia,..,..,..,..,..,..,..
Austria,21145,..,23020,..,25144,..,..
Azerbaijan,8419,8866,8849,8871,8698,8441,..
Bahrain,..,608,..,..,..,..,..
Bangladesh,..,..,..,..,..,..,..
Belarus,7535,7156,6863,6686,6785,6990,..
Belgium,22285.772,..,25148,..,27465,..,..
Benin,..,..,..,..,..,..,..
Bermuda,14,11,11,..,..,14,..
Bolivia (Plurinational State of),549,608,..,..,..,..,..
Bosnia and Herzegovina,484,811,798,915,1113,934,..
Botswana,225,..,..,..,..,..,..
Brazil,..,..,..,..,..,..,..
Brunei Darussalam,..,..,..,..,..,247,..
Bulgaria,7999,8804,9268,10351,9935,..,..
Burkina Faso,..,237,..,..,349,..,..
Burundi,..,..,..,..,..,88,..
Cambodia,..,..,188,..,..,..,..
Cameroon,..,..,..,..,..,..,..
Canada,..,..,..,..,..,..,..
Cabo Verde,..,70,..,..,..,..,..
Central African Republic,..,..,..,..,..,..,..
Chad,..,..,..,97,..,81,..
Chile,3362.382,3872.5,4297.104,4689.5,4962.541,..,..
China,..,..,..,..,..,..,..
"China, Hong Kong Special Administrative Region",..,..,..,..,..,..,..
"China, Macao Special Administrative Region",383,450,569,951,1083,1144,..
Colombia,2656,2930,3558,4858,4858,..,..
Congo,..,..,..,..,..,..,..
Costa Rica,1846,1803,1782,1663,1700,..,..
Cote d'Ivoire,..,..,..,728,..,..,..
Croatia,5333,5246,5424,6183,6637,..,..
Cuba,2221,2098,1986,3286,3370.2,3408,..
Cyprus,854,826,804,812,897,..,..
Czechia,14537.2,14814.61,15252.17,14971.42,16004.819,16461,..
Democratic Republic of the Congo,..,..,114,..,..,..,..
Denmark,20399,..,20469,..,22155,..,..
Ecuador,3913,4688,..,..,..,..,..
Egypt,47376,52759,55467,58272,60428,63127,..
El Salvador,257,300,404,369,379,..,..
Estonia,3338,3399,3151,2981,3099,..,..
Eswatini,..,..,149,..,..,..,..
Ethiopia,1093,..,..,..,1780,..,..
Faeroe Islands,..,..,..,..,..,..,..
Finland,17861,17818,17995,17479,17948,..,..
France,93145.08,101295.54,103521.04,111034,117754,..,..
Gabon,..,113,..,..,..,..,..
Gambia,..,..,..,..,..,34,..
Georgia,1433,3890,4591,4757,4782,5764,..
Germany,153516.805,..,164095,..,173700.28,..,..
Ghana,..,..,1454,..,..,..,..
Greece,21163,..,23078,..,23301,..,..
Greenland,..,..,..,..,..,..,..
Guam,..,..,..,..,..,..,..
Guatemala,239,263,320,291,217,..,..
Guinea,21,..,..,..,..,..,..
Honduras,..,..,85,..,196,..,..
Hungary,11462,11897,11848,11969,13024,..,..
Iceland,1471,..,1699,1858,1755,..,..
India,..,..,..,..,..,..,..
Indonesia,..,..,..,64260,76041,76313,..
Iran (Islamic Republic of),27747,..,41753,..,70436,..,..
Iraq,..,1787,2457,3087,4581,4790,..
Ireland,11310,..,11960,..,12644.038,..,..
Israel,..,..,..,..,..,..,..
Italy,58522,60532,62828,65431,67131,..,..
Jamaica,..,..,..,..,..,..,..
Japan,130603,136206,138420,144126,150545,154964,..
Jordan,..,..,1790,1856,2224,1676,..
Kazakhstan,8849,9766,9592,9282,8991,9217,..
Kenya,..,..,..,..,..,..,..
Kuwait,1503,1604,2189,2462,2732,2830,..
Kyrgyzstan,..,1446,1742,1707,1525,..,..
Lao People's Democratic Republic,..,..,..,..,..,..,..
Latvia,3871,4133,3993,3861,3919,..,..
Lesotho,..,..,43,..,..,..,..
Libya,..,..,..,..,..,..,..
Lithuania,9263,9734,8775,9151,9292,..,..
Luxembourg,740,..,905,..,994,..,..
Madagascar,..,587,..,656,715,742,..
Malawi,..,..,..,..,..,..,..
Malaysia,..,41226,43672,52325,..,..,..
Mali,..,..,75,..,109,..,..
Malta,420,410,403,422,478,..,..
Mauritania,..,..,..,523,..,785,..
Mauritius,..,..,..,..,..,553,..
Mexico,13942.803,..,..,..,..,..,..
Monaco,..,..,..,..,..,..,..
Mongolia,935,931,915,807,1034,937,..
Montenegro,823,839,840,..,762,..,..
Morocco,..,..,..,16036,..,..,..
Mozambique,..,..,704,..,..,..,..
Myanmar,..,..,..,..,1222,..,..
Namibia,..,290,..,..,..,..,..
Nauru,..,..,..,..,..,..,..
Nepal,..,..,..,..,..,..,..
Netherlands,26096.982,26116.484,28671,29520,30460,..,..
New Zealand,..,..,..,..,..,..,..
Nicaragua,..,..,..,..,..,..,..
Niger,140,..,..,..,..,..,..
Nigeria,..,..,..,..,..,..,..
North Macedonia,1409,1864,1850,1879,1749,1850,..
Norway,17659,18725,19507,20520,22052,..,..
Oman,261,467,643,1120,954,1505,..
Pakistan,18079,..,27554,..,50369,..,..
Palestine,1024,..,..,..,..,..,..
Panama,322,..,..,..,..,..,..
Papua New Guinea,..,..,..,264,..,..,..
Paraguay,..,795,957,792,879,..,..
Peru,..,958,1076,..,457,713,..
Philippines,13167.75281,..,10359.57789,..,..,..,..
Poland,41424,42958,43870,48297,71611,..,..
Portugal,35557,34874,35757,37293,39148,..,..
Puerto Rico,..,..,..,..,..,..,..
Qatar,..,..,894,..,..,1058,..
Republic of Korea,74617,80904,85652,90615,97042,104728,..
Republic of Moldova,1559,1586,1655,1577,1542,1483,..
Romania,12611,12669,12598,12728,12790,..,..
Russian Federation,150864,151492,152929,148336,142290,136431,..
Rwanda,109,..,..,120,..,..,..
Saint Helena,..,..,..,..,..,..,..
Saint Lucia,..,..,..,..,..,..,..
Saint Vincent and the Grenadines,..,..,..,..,..,..,..
Saudi Arabia,8198,..,..,..,..,..,..
Senegal,..,..,4201,..,..,..,..
Serbia,7389,7452,8044,8032,8098,8329,..
Seychelles,..,..,..,52,..,..,..
Singapore,11956,12252,..,..,..,..,..
Slovakia,10437,10657,10293,8322,8316,11843,..
Slovenia,4359,4387,4126,3893,4549,..,..
South Africa,20231,21471,23334,25591,27774,..,..
Spain,82121.332,83183.845,85759,87803.807,91498.665,..,..
Sri Lanka,2224,2478,2852,..,..,..,..
Sudan,..,..,..,..,..,..,..
Sudan (pre-secession),..,..,..,..,..,..,..
Sweden,33876,..,36673,..,34931,..,..
Switzerland,..,..,23762,..,25669.356,..,..
Syrian Arab Republic,..,..,2135,..,..,..,..
Tajikistan,728,778,886,960,984,994,..
Thailand,..,38001,40802,64848,74653,..,..
Togo,..,69,66,63,71,110,..
Trinidad and Tobago,618,671,685,684,842,..,..
Tunisia,17700,18323,18869,20610,..,19771,..
Turkey,60179,66974,71136,70414,78056,..,..
Uganda,..,578,..,..,..,..,..
Ukraine,30079,26890,24930,28660,26533,25780,..
United Arab Emirates,..,..,..,..,..,15788.68734,..
United Kingdom of Great Britain and Northern Ireland,177801,183011.6,191774,197576,..,..,..
United Republic of Tanzania,914,..,..,..,..,..,..
United States of America,..,..,..,..,..,..,..
United States Virgin Islands,..,..,..,..,..,..,..
Uruguay,1295,1327,1340,1376,1396,1331,..
Uzbekistan,12531,12514,13018,12898,12944,12984,..
Venezuela (Bolivarian Republic of),7153,7248,6670,6378,..,..,..
Viet Nam,56846,..,58694,..,..,..,..
Zambia,..,..,..,..,..,..,..
Zimbabwe,..,..,..,..,..,..,..
